estadio;tempo;planta;hibrid_tolerancia;n_pulverizacoes;n_pulverizacoes_caracter;n_cigarrinha
V4;14;33;alta;0;a_0;0
V4;14;34;alta;0;a_0;1
V4;14;35;alta;0;a_0;1
V4;14;36;alta;0;a_0;0
V4;14;37;alta;0;a_0;0
V4;14;38;alta;0;a_0;0
V4;14;39;alta;0;a_0;0
V4;14;40;alta;0;a_0;0
V5-V6;21;1;alta;0;a_0;0
V5-V6;21;2;alta;0;a_0;0
V5-V6;21;3;alta;0;a_0;1
V5-V6;21;4;alta;0;a_0;0
V5-V6;21;5;alta;0;a_0;1
V5-V6;21;6;alta;0;a_0;0
V5-V6;21;7;alta;0;a_0;1
V5-V6;21;8;alta;0;a_0;0
V5-V6;21;9;alta;0;a_0;1
V5-V6;21;10;alta;0;a_0;0
V5-V6;21;11;alta;0;a_0;0
V5-V6;21;12;alta;0;a_0;0
V5-V6;21;13;alta;0;a_0;1
V5-V6;21;14;alta;0;a_0;0
V5-V6;21;15;alta;0;a_0;0
V5-V6;21;16;alta;0;a_0;0
V5-V6;21;17;alta;0;a_0;2
V5-V6;21;18;alta;0;a_0;0
V5-V6;21;19;alta;0;a_0;0
V5-V6;21;20;alta;0;a_0;1
V5-V6;21;21;alta;0;a_0;1
V5-V6;21;22;alta;0;a_0;0
V5-V6;21;23;alta;0;a_0;1
V5-V6;21;24;alta;0;a_0;0
V5-V6;21;25;alta;0;a_0;1
V5-V6;21;26;alta;0;a_0;1
V5-V6;21;27;alta;0;a_0;0
V5-V6;21;28;alta;0;a_0;0
V5-V6;21;29;alta;0;a_0;1
V5-V6;21;30;alta;0;a_0;2
V5-V6;21;31;alta;0;a_0;0
V5-V6;21;32;alta;0;a_0;0
V5-V6;21;33;alta;0;a_0;1
V5-V6;21;34;alta;0;a_0;2
V5-V6;21;35;alta;0;a_0;0
V5-V6;21;36;alta;0;a_0;0
V5-V6;21;37;alta;0;a_0;0
V5-V6;21;38;alta;0;a_0;0
V5-V6;21;39;alta;0;a_0;1
V5-V6;21;40;alta;0;a_0;0
V8;28;1;alta;0;a_0;0
V8;28;2;alta;0;a_0;1
V8;28;3;alta;0;a_0;0
V8;28;4;alta;0;a_0;0
V8;28;5;alta;0;a_0;0
V8;28;6;alta;0;a_0;2
V8;28;7;alta;0;a_0;0
V8;28;8;alta;0;a_0;0
V8;28;9;alta;0;a_0;0
V8;28;10;alta;0;a_0;0
V8;28;11;alta;0;a_0;0
V8;28;12;alta;0;a_0;0
V8;28;13;alta;0;a_0;0
V8;28;14;alta;0;a_0;0
V8;28;15;alta;0;a_0;0
V8;28;16;alta;0;a_0;0
V8;28;17;alta;0;a_0;0
V8;28;18;alta;0;a_0;1
V8;28;19;alta;0;a_0;2
V8;28;20;alta;0;a_0;1
V8;28;21;alta;0;a_0;1
V8;28;22;alta;0;a_0;0
V8;28;23;alta;0;a_0;0
V8;28;24;alta;0;a_0;0
V8;28;25;alta;0;a_0;1
V8;28;26;alta;0;a_0;0
V8;28;27;alta;0;a_0;0
V8;28;28;alta;0;a_0;0
V8;28;29;alta;0;a_0;0
V8;28;30;alta;0;a_0;0
